State/UTs,Total_population_2011,Total Cases,Active,Discharged,Deaths,Active Ratio (%),Discharge Ratio (%),Death Ratio (%),Rate of Infection
Andaman and Nicobar,380581,7600,13,7458,129,0.17,98.13,1.7,2.00%
Andhra Pradesh,84580777,2039529,14388,2011063,14078,0.71,98.6,0.69,2.41%
Arunachal Pradesh,1383727,54126,410,53444,272,0.76,98.74,0.5,3.91%
Assam,31205576,598423,4984,587632,5807,0.83,98.2,0.97,1.92%
Bihar,104099452,725901,69,716173,9659,0.01,98.66,1.33,0.70%
Chandigarh,1055450,65188,41,64329,818,0.06,98.68,1.25,6.18%
Chhattisgarh,25545198,1005094,297,991234,13563,0.03,98.62,1.35,3.93%
Dadra and Nagar Haveli and Daman and Diu,586956,10670,0,10666,4,0,99.96,0.04,1.82%
Delhi,16787941,1438517,379,1413053,25085,0.03,98.23,1.74,8.57%
Goa,1458545,175583,810,171478,3295,0.46,97.66,1.88,12.04%
Gujarat,60439692,825737,133,815522,10082,0.02,98.76,1.22,1.37%
Haryana,25351462,770746,340,760598,9808,0.04,98.68,1.27,3.04%
Himachal Pradesh,6864602,217140,1616,211871,3653,0.74,97.57,1.68,3.16%
Jammu and Kashmir,12541302,328069,1461,322191,4417,0.45,98.21,1.35,2.62%
Jharkhand,32988134,348125,55,342937,5133,0.02,98.51,1.47,1.06%
Karnataka,61095297,2968543,14386,2916530,37627,0.48,98.25,1.27,4.86%
Kerala,33406061,4524158,167578,4332897,23683,3.7,95.77,0.52,13.54%
Ladakh,274000,20737,138,20392,207,0.67,98.34,1,7.57%
Lakshadweep,64473,10359,8,10300,51,0.08,99.43,0.49,16.07%
Madhya Pradesh,72626809,792402,96,781789,10517,0.01,98.66,1.33,1.09%
Maharashtra,112374333,6524498,45229,6340723,138546,0.69,97.18,2.12,5.81%
Manipur,2855794,118673,2183,114658,1832,1.84,96.62,1.54,4.16%
Meghalaya,2966889,79667,1896,76391,1380,2.38,95.89,1.73,2.69%
Mizoram,1097206,81460,15140,66057,263,18.59,81.09,0.32,7.42%
Nagaland,1978502,30907,467,29786,654,1.51,96.37,2.12,1.56%
Odisha,41974218,1020754,4947,1007666,8141,0.48,98.72,0.8,2.43%
Puducherry,1247953,125517,867,122818,1832,0.69,97.85,1.46,10.06%
Punjab,27743338,601323,307,584517,16499,0.05,97.21,2.74,2.17%
Rajasthan,68548437,954263,91,945218,8954,0.01,99.05,0.94,1.39%
Sikkim,610577,30971,654,29937,380,2.11,96.66,1.23,5.07%
Tamil Nadu,72147030,2647041,16984,2594697,35360,0.64,98.02,1.34,3.67%
Telengana,35003674,663662,4991,654765,3906,0.75,98.66,0.59,1.90%
Tripura,3673917,83905,346,82750,809,0.41,98.62,0.96,2.28%
Uttar Pradesh,199812341,1709680,194,1686599,22887,0.01,98.65,1.34,0.86%
Uttarakhand,10086292,343393,267,335736,7390,0.08,97.77,2.15,3.40%
West Bengal,91276115,1562173,7810,1535699,18664,0.5,98.31,1.19,1.71%
